practice,city,state,zip,consolidator,investor
Hamilton Mill Animal Hospital,Buford,GA,30519,Mission Pet Health,Silver Lake and Shore Capital Partners
My Pet's Vet Buford,Buford,GA,30519,My Pet's Vet Group,Fulcrum Equity Partners
PetSuites Braselton,Buford,GA,30519,NVA,JAB Holdings
Cairo Animal Hospital,Cairo,GA,39827,American Veterinary Group,Oak Hill Capital
Animal Hospital of Gordon County,Calhoun,GA,30701,VetCor,Harvest Partners
Mitchell County Animal Hospital,Camilla,GA,31730,American Veterinary Group,Oak Hill Capital
Animal Medical & Surgical Center,Canton,GA,30114,NVA,JAB Holdings
BridgeMill Animal Hospital,Canton,GA,30114,NVA,JAB Holdings
Union Hill Animal Hospital,Canton,GA,30115,Veterinary Practice Partners,Audax Private Equity
Carrol County Animal Hospital at Oak Mountain,Carrollton,GA,30116,PetVet Care Centers,KKR
Carroll County Animal Hospital,Carrollton,GA,30117,PetVet Care Centers,KKR
Carroll County Animal Hospital - Columbia Drive,Carrollton,GA,30117,PetVet Care Centers,KKR
Bartow Animal Hospital,Cartersville,GA,30121,American Veterinary Group,Oak Hill Capital
ShotVet at PetSmart - Cartersville,Cartersville,GA,30121,ShotVet,Privately held; no external sponsor identified
Banfield Chamblee,Chamblee,GA,30341,Banfield,Mars
CityVet - Chamblee Veterinary Clinic & Urgent Care,Chamblee,GA,30341,CityVet,RiverGlade Capital
VCA Peachtree Animal Hospital,Chamblee,GA,30341,VCA,Mars
Clarkesville Veterinary Hospital,Clarkesville,GA,30523,Mission Pet Health,Silver Lake and Shore Capital Partners
Northlake Veterinary Surgery,Clarkston,GA,30021,Ethos Veterinary Health,JAB Holdings
Mt. Yonah Animal Hospital,Cleveland,GA,30528,PetVet Care Centers,KKR
2nd Avenue Animal Hospital,Columbus,GA,31904,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Animal General Hospital,Columbus,GA,31907,American Veterinary Group,Oak Hill Capital
Columbus Veterinary Medical Center,Columbus,GA,31909,Mission Pet Health,Silver Lake and Shore Capital Partners
Northridge Veterinary Center,Columbus,GA,31909,VetCor,Harvest Partners
Northside Animal Hospital,Columbus,GA,31904,NVA,JAB Holdings
Weems Road Animal Hospital,Columbus,GA,31909,VetCor,Harvest Partners
Banfield Conyers,Conyers,GA,30013,Banfield,Mars
Honey Creek Veterinary Hospital,Conyers,GA,30013,Alliance Animal Health,L Catterton and LightBay Capital
Cornelia Veterinary Hospital,Cornelia,GA,30531,Mission Pet Health,Silver Lake and Shore Capital Partners
Northeast Veterinary Hospital,Cornelia,GA,30531,Mission Pet Health,Silver Lake and Shore Capital Partners
Animal Medical Center of Cumming,Cumming,GA,30041,PetVet Care Centers,KKR
Banfield Cumming,Cumming,GA,30041,Banfield,Mars
Barkfield Animal Hospital,Cumming,GA,30040,Innovetive Pet Care,Metalmark Capital
Creekside Animal Hospital,Cumming,GA,30041,NVA,JAB Holdings
Crestview Animal Hospital,Cumming,GA,30040,PetVet Care Centers,KKR
Happy Dogs Play and Stay,Cumming,GA,30040,Destination Pet,L1 Health
PetSuites Cumming,Cumming,GA,30041,NVA,JAB Holdings
Sawnee Animal Clinic,Cumming,GA,30040,Mission Pet Health,Silver Lake and Shore Capital Partners
UrgentVet Cumming,Cumming,GA,30041,American Veterinary Group,Oak Hill Capital
Walmart Pet Services - Cumming,Cumming,GA,30028,Walmart Pet Services,Walmart Inc.
VCA Dahlonega Animal Hospital,Dahlonega,GA,30533,VCA,Mars
East Paulding Animal Hospital,Dallas,GA,30157,Mission Pet Health,Silver Lake and Shore Capital Partners
New Hope Animal Hospital,Dallas,GA,30157,PetVet Care Centers,KKR
Dawsonville Veterinary Hospital,Dawsonville,GA,30534,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield Decatur-Blackmon,Decatur,GA,30033,Banfield,Mars
Clairmont Animal Hospital,Decatur,GA,30030,Mission Pet Health,Silver Lake and Shore Capital Partners
North Dekalb Veterinary Clinic,Decatur,GA,30033,Alliance Animal Health,L Catterton and LightBay Capital
Saint Francis Veterinary Specialists and Emergency,Decatur,GA,30033,Thrive Pet Healthcare,TSG Consumer Partners
The Village Vets Avondale Estates,Decatur,GA,30030,Mission Pet Health,Silver Lake and Shore Capital Partners
The Village Vets Decatur-Ponce,Decatur,GA,30030,Mission Pet Health,Silver Lake and Shore Capital Partners
Thrive Pet Healthcare Decatur,Decatur,GA,30033,Thrive Pet Healthcare,TSG Consumer Partners
Lindsey and Wills Animal Hospital,Douglas,GA,31533,American Veterinary Group,Oak Hill Capital
Banfield Douglasville,Douglasville,GA,30135,Banfield,Mars
Douglasville Veterinary Hospital,Douglasville,GA,30134,PetVet Care Centers,KKR
Kay Animal Hospital,Douglasville,GA,30134,PetVet Care Centers,KKR
Banfield Duluth,Duluth,GA,30096,Banfield,Mars
Banfield Duluth Sugarloaf Marketplace,Duluth,GA,30097,Banfield,Mars
Duluth Animal Hospital,Duluth,GA,30096,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Duluth Dog Depot,Duluth,GA,30096,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Atlanta Pet Resort - Dunwoody,Dunwoody,GA,30338,Destination Pet,L1 Health
Chewy Vet Care Perimeter,Dunwoody,GA,30346,Chewy Vet Care,"Chewy, Inc."
GoodVets Dunwoody,Dunwoody,GA,30338,GoodVets,General Atlantic
VCA Dunwoody Veterinary Center,Dunwoody,GA,30338,VCA,Mars
VCA Appalachian Animal Hospital,East Ellijay,GA,30540,VCA,Mars
Banfield East Point (Camp Creek),East Point,GA,30344,Banfield,Mars
VCA College Park Animal Hospital,East Point,GA,30344,VCA,Mars
Fairview Animal Hospital,Ellenwood,GA,30294,Alliance Animal Health,L Catterton and LightBay Capital
Hill Top Animal Hospital,Evans,GA,30809,Alliance Animal Health,L Catterton and LightBay Capital
Vetco Total Care - Evans,Evans,GA,30809,Vetco Total Care,Petco
Animal Medical Clinic of Fairburn,Fairburn,GA,30213,Thrive Pet Healthcare,TSG Consumer Partners
Animal Dermatology Clinic - Fayetteville,Fayetteville,GA,30214,Animal Dermatology Clinic,Percheron Capital
Banfield Fayetteville,Fayetteville,GA,30214,Banfield,Mars
Fayette Veterinary Medical Center,Fayetteville,GA,30214,PetVet Care Centers,KKR
South Atlanta Veterinary Emergency & Specialty,Fayetteville,GA,30214,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Flowery Branch,Flowery Branch,GA,30542,Banfield,Mars
Animal Medical Center of Fort Oglethorpe,Fort Oglethorpe,GA,30742,PetVet Care Centers,KKR
Smith Animal Hospital – Fort Valley Location CLOSED,Fort Valley,GA,31030,PetVet Care Centers,KKR
Animal Emergency Of Gainesville,Gainesville,GA,30501,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Animal Medical Care,Gainesville,GA,30501,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Browns Bridge Animal Hospital,Gainesville,GA,30504,PetVet Care Centers,KKR
Gainesville Veterinary Hospital,Gainesville,GA,30501,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Eastside Animal Medical Center,Grayson,GA,30017,VetCor,Harvest Partners
Durham Veterinary Clinic,Greensboro,GA,30642,American Veterinary Group,Oak Hill Capital
Griffin Animal Care,Griffin,GA,30223,Western Veterinary Partners,Tyree & D'Angelo Partners
Memorial Drive Veterinary Clinic,Griffin,GA,30223,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
North Griffin Animal Hospital,Griffin,GA,30223,Alliance Animal Health,L Catterton and LightBay Capital
Hahira Veterinary Clinic,Hahira,GA,31632,CareVet,Compass Group Equity Partners
Ark Animal Hospital,Hiram,GA,30141,Alliance Animal Health,L Catterton and LightBay Capital
Hiram Animal Hospital,Hiram,GA,30141,Veterinary Practice Partners,Audax Private Equity
Hoschton Animal Hospital,Hoschton,GA,30548,CareVet,Compass Group Equity Partners
Magnolia Veterinary Hospital,Hoschton,GA,30548,Alliance Animal Health,L Catterton and LightBay Capital
Wolfe Animal Hospital,Jesup,GA,31545,PetVet Care Centers,KKR
BluePearl Pet Hospital,Johns Creek,GA,30024,BluePearl Pet Hospital,Mars
It's a Dog's Life Resort,Johns Creek,GA,30022,Destination Pet,L1 Health
Johns Creek Veterinary Clinic,Johns Creek,GA,30097,PetVet Care Centers,KKR
Jones Bridge Animal Hospital,Johns Creek,GA,30022,Mission Pet Health,Silver Lake and Shore Capital Partners
Petfolk Veterinary & Urgent Care - John's Creek,Johns Creek,GA,30097,Petfolk,Undisclosed
Banfield Kennesaw Main,Kennesaw,GA,30144,Banfield,Mars
Butler Creek Animal Hospital,Kennesaw,GA,30152,Mission Pet Health,Silver Lake and Shore Capital Partners
Kennesaw,Kennesaw,GA,30144,Petfolk,Undisclosed
Kennesaw Mountain Animal Hospital,Kennesaw,GA,30152,Alliance Animal Health,L Catterton and LightBay Capital
Kennesaw Mountain Veterinary Services,Kennesaw,GA,30152,Mission Pet Health,Silver Lake and Shore Capital Partners
My Pet's Vet Kennesaw,Kennesaw,GA,30144,My Pet's Vet Group,Fulcrum Equity Partners
North Cobb Animal Hospital,Kennesaw,GA,30152,PetVet Care Centers,KKR
UrgentVet Kennesaw,Kennesaw,GA,30144,American Veterinary Group,Oak Hill Capital
Vetco Total Care - Kennesaw,Kennesaw,GA,30152,Vetco Total Care,Petco
Lake Park Veterinary Clinic,Lake Park,GA,31636,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Animal Medical Center of Lawrenceville,Lawrenceville,GA,30046,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Pet Hospital,Lawrenceville,GA,30043,Banfield,Mars
BluePearl Pet Hospital Gwinnett Lawrenceville,Lawrenceville,GA,30043,BluePearl Pet Hospital,Mars
Gwinnett Animal Clinic,Lawrenceville,GA,30046,VetCor,Harvest Partners
PetSuites Lawrenceville,Lawrenceville,GA,30045,NVA,JAB Holdings
Premier Veterinary Hospital,Lawrenceville,GA,30043,CareVet,Compass Group Equity Partners
Sugarloaf Animal Hospital,Lawrenceville,GA,30045,VetCor,Harvest Partners
Leesburg Animal Hospital,Leesburg,GA,31763,American Veterinary Group,Oak Hill Capital
Beaver Crossing Animal Hospital,Lilburn,GA,30047,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Lilburn Animal Hospital,Lilburn,GA,30047,VCA,Mars
Westside Animal Emergency Clinic,Lithia Springs,GA,30122,PetVet Care Centers,KKR
Woodland Animal Hospital,Locust Grove,GA,30248,Suveto,Levine Leichtman Capital
Banfield Loganville,Loganville,GA,30052,Banfield,Mars
Walton Gwinnett Animal Clinic,Loganville,GA,30052,Innovetive Pet Care,Metalmark Capital
Leland Veterinary Clinic,Mableton,GA,30126,VetCor,Harvest Partners
Piedmont Equine Associates,Madison,GA,30650,American Veterinary Group,Oak Hill Capital
Animal Dermatology Clinic Marietta,Marietta,GA,30067,Animal Dermatology Clinic,Percheron Capital
Atlanta Pet Resort - Marietta,Marietta,GA,30066,Destination Pet,L1 Health
Banfield Marietta,Marietta,GA,30068,Banfield,Mars
BluePearl Pet Rehab + Fitness Marietta,Marietta,GA,30068,BluePearl Pet Hospital,Mars
Dogwood Veterinary Specialty and Emergency,Marietta,GA,30067,Innovetive Pet Care,Metalmark Capital
Due West Animal Hospital,Marietta,GA,30064,NVA,JAB Holdings
East Cobb Marietta,Marietta,GA,30062,Petfolk,Undisclosed
Greater Atlanta Veterinary Medical Group,Marietta,GA,30066,Mission Pet Health,Silver Lake and Shore Capital Partners
Lassiter Animal Hospital,Marietta,GA,30062,VetCor,Harvest Partners
"Marietta (GA), Thrive Pet Healthcare CLOSED",Marietta,GA,30066,Thrive Pet Healthcare,TSG Consumer Partners
Paws Whiskers and Claws,Marietta,GA,30068,PetVet Care Centers,KKR
Radiocat,Marietta,GA,30062,PetVet Care Centers,KKR
Sprayberry Animal Hospital,Marietta,GA,30062,Innovetive Pet Care,Metalmark Capital
Tritt Animal Hospital,Marietta,GA,30062,VetCor,Harvest Partners
VCA Terrell Mill Animal Hospital,Marietta,GA,30067,VCA,Mars
VEG Marietta,Marietta,GA,30068,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Copper Basin Veterinary Clinic,McCaysville,GA,30555,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield McDonough,Mcdonough,GA,30253,Banfield,Mars
Mcdonough Animal Hospital,McDonough,GA,30253,Alliance Animal Health,L Catterton and LightBay Capital
Heart of Georgia Animal Care,Milledgeville,GA,31061,PetVet Care Centers,KKR
Moreland Animal Hospital,Moreland,GA,30259,Western Veterinary Partners,Tyree & D'Angelo Partners
Banfield Southlake,Morrow,GA,30260,Banfield,Mars
SouthSide Veterinary Center,Moultrie,GA,31788,Heartland Veterinary Partners,Gryphon Investors
Murrayville Veterinary Clinic,Murrayville,GA,30564,Mission Pet Health,Silver Lake and Shore Capital Partners
Branch’s Veterinary Clinic,Nashville,GA,31639,American Veterinary Group,Oak Hill Capital
Banfield Newnan,Newnan,GA,30265,Banfield,Mars
Coweta Animal Hospital,Newnan,GA,30263,Alliance Animal Health,L Catterton and LightBay Capital
Crossroads Animal Hospital,Newnan,GA,30265,Mission Pet Health,Silver Lake and Shore Capital Partners
Dogwood Veterinary Hospital and Laser Center,Newnan,GA,30263,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Norcross,Norcross,GA,30092,Banfield,Mars
My Pet's Vet Dunwoody,Norcross,GA,30092,My Pet's Vet Group,Fulcrum Equity Partners
Peachtree Corners Animal Clinic,Norcross,GA,30092,Mission Pet Health,Silver Lake and Shore Capital Partners
PetSuites Norcross,Norcross,GA,30071,NVA,JAB Holdings
Oakwood Animal Hospital,Oakwood,GA,30566,PetVet Care Centers,KKR
Animal Medical Clinic - Pet Care Center & Hotel,Peachtree City,GA,30269,Thrive Pet Healthcare,TSG Consumer Partners
Animal Medical Clinic of Peachtree City,Peachtree City,GA,30269,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Peachtree City,Peachtree City,GA,30269,Banfield,Mars
Flat Creek Animal Clinic,Peachtree City,GA,30269,Mission Pet Health,Silver Lake and Shore Capital Partners
Peachtree Pets,Peachtree City,GA,30269,Destination Pet,L1 Health
UrgentVet Peachtree City,Peachtree City,GA,30269,American Veterinary Group,Oak Hill Capital
VCA Braelinn Village Animal Hospital,Peachtree City,GA,30269,VCA,Mars
Vetco Total Care - Peachtree City,Peachtree City,GA,30269,Vetco Total Care,Petco
Peachtree Corners,Peachtree Corners,GA,30092,Petfolk,Undisclosed
Perry Animal Hospital,Perry,GA,31069,PetVet Care Centers,KKR
Smith Animal Hospital – Perry Location,Perry,GA,31069,PetVet Care Centers,KKR
Westmoreland & Slappey Animal Hospital,Perry,GA,31069,PetVet Care Centers,KKR
Powder Springs Animal Clinic,Powder Springs,GA,30127,PetVet Care Centers,KKR
Rabun Animal Hospital,Rabun Gap,GA,30568,PetVet Care Centers,KKR
Cedar Animal Hospital,Richmond Hill,GA,31324,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Webb Animal Hospital,Rincon,GA,31326,VCA,Mars
VCA Catoosa Animal Hospital,Ringgold,GA,30736,VCA,Mars
Rockmart Animal Hospital,Rockmart,GA,30153,Alliance Animal Health,L Catterton and LightBay Capital
Culbreth Carr Watson Animal Clinic,Rome,GA,30161,Alliance Animal Health,L Catterton and LightBay Capital
Northwest Georgia Veterinary Emergency Center,Rome,GA,30165,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Banfield Roswell,Roswell,GA,30075,Banfield,Mars
Banfield Roswell S,Roswell,GA,30075,Banfield,Mars
CityVet - Roswell Veterinary Clinic & Urgent Care,Roswell,GA,30076,CityVet,RiverGlade Capital
East Roswell Vet Hospital,Roswell,GA,30076,VetCor,Harvest Partners
Holcomb Bridge Animal Hospital,Roswell,GA,30076,Alliance Animal Health,L Catterton and LightBay Capital
PetSuites Roswell,Roswell,GA,30076,NVA,JAB Holdings
UrgentVet Roswell,Roswell,GA,30075,American Veterinary Group,Oak Hill Capital
VCA Pets Are People Too Roswell Animal Hospital,Roswell,GA,30076,VCA,Mars
VCA Roswell Animal Hospital,Roswell,GA,30075,VCA,Mars
Royston Animal Hospital,Royston,GA,30662,VetCor,Harvest Partners
Island Animal Hospital,Saint Simons Island,GA,31522,NVA,JAB Holdings
Animal Emergency of Sandy Springs,Sandy Springs,GA,30328,Innovetive Pet Care,Metalmark Capital
BluePearl Pet Hospital Sandy Springs,Sandy Springs,GA,30328,BluePearl Pet Hospital,Mars
Sandy Springs,Sandy Springs,GA,30328,Petfolk,Undisclosed
VCA North Atlanta Animal Hospital,Sandy Springs,GA,30328,VCA,Mars
Vetco Total Care - Sandy Springs,Sandy Springs,GA,30328,Vetco Total Care,Petco
Banfield Pet Hospital,Savannah,GA,31406,Banfield,Mars
Banfield Savannah Victory Drive,Savannah,GA,31404,Banfield,Mars
BluePearl Pet Hospital Savannah,Savannah,GA,31405,BluePearl Pet Hospital,Mars
Central Animal Hospital,Savannah,GA,31401,VetCor,Harvest Partners
Crossroad Animal Hospital,Savannah,GA,31406,Western Veterinary Partners,Tyree & D'Angelo Partners
Island Veterinary Clinic,Savannah,GA,31410,Alliance Animal Health,L Catterton and LightBay Capital
VCA Greater Savannah Animal Hospital,Savannah,GA,31406,VCA,Mars
Vetco Total Care - Savannah,Savannah,GA,31406,Vetco Total Care,Petco
East Coweta Veterinary Hospital,Sharpsburg,GA,30277,PetVet Care Centers,KKR
NewDay Veterinary Care Peachtree City,Sharpsburg,GA,30277,NewDay Veterinary Care / Pet Paradise,Crane Group
Banfield Smyrna,Smyrna,GA,30080,Banfield,Mars
Chastain Animal Clinic,Smyrna,GA,30080,NVA,JAB Holdings
Cumberland Animal Clinic,Smyrna,GA,30080,PetVet Care Centers,KKR
Windy Hill Veterinary Hospital,Smyrna,GA,30080,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield Snellville,Snellville,GA,30078,Banfield,Mars
Gwinnett Animal Hospital,Snellville,GA,30078,Mission Pet Health,Silver Lake and Shore Capital Partners
NewDay Veterinary Care Snellville,Snellville,GA,30078,NewDay Veterinary Care / Pet Paradise,Crane Group
Snellville Animal Hospital,Snellville,GA,30078,PetVet Care Centers,KKR
VEG Snellville,Snellville,GA,30078,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Vetco Total Care - Snellville,Snellville,GA,30078,Vetco Total Care,Petco
Seaside Veterinary Hospital,St. Simons Island,GA,31522,Mission Pet Health,Silver Lake and Shore Capital Partners
Best Friends Animal Hospital,Statesboro,GA,30458,Mission Pet Health,Silver Lake and Shore Capital Partners
Gateway Animal Hospital,Statesboro,GA,30458,Mission Pet Health,Silver Lake and Shore Capital Partners
Statesboro Bulloch Regional Veterinary Hospital,Statesboro,GA,30461,PetVet Care Centers,KKR
Vetco Total Care - Statesboro,Statesboro,GA,30458,Vetco Total Care,Petco
Stone Mountain Animal Hospital,Stone Mountain,GA,30083,VetCor,Harvest Partners
The Village Vets Stone Mountain,Stone Mountain,GA,30087,Mission Pet Health,Silver Lake and Shore Capital Partners
Sugar Hill Animal Hospital,Sugar Hill,GA,30518,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Johns Creek,Suwanee,GA,30024,Banfield,Mars
Heart of Suwanee Animal Hospital,Suwanee,GA,30024,PetVet Care Centers,KKR
Suwanee Animal Hospital,Suwanee,GA,30024,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Falcon Village Animal Hospital,Suwanee,GA,30024,VCA,Mars
Clanton-Malphus-Hodges Veterinary Hospital & Pet Motel,Thomasville,GA,31792,American Veterinary Group,Oak Hill Capital
Branch’s Animal Hospital,Tifton,GA,31794,American Veterinary Group,Oak Hill Capital
